"Module"	"JsonFile"	"Title"	"BlockCount"	"HasImageInJson"	"ImageCountInJson"	"BlockTypes"	"MdExists"	"MdHasImages"	"ImageCountInMd"	"MdSectionCount"
"01-getting-started"	"01-what-is-sql-server.json"	"What is SQL Server?"	"27"	"False"	"0"	"bullet-list, callout, comparison-cards, heading, paragraph, summary-box"	"True"	"True"	"1"	"4"
"01-getting-started"	"02-basics.json"	"Basics"	"39"	"False"	"0"	"bullet-list, heading, paragraph, summary-box"	"True"	"False"	"0"	"16"
"01-getting-started"	"03-aliases.json"	"Aliases"	"21"	"False"	"0"	"bullet-list, callout, example, heading, paragraph"	"True"	"True"	"5"	"2"
"02-querying-data"	"01-select-statement.json"	"SELECT Statement"	"20"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"13"	"3"
"02-querying-data"	"02-select-distinct.json"	"SELECT DISTINCT"	"20"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"7"	"3"
"02-querying-data"	"03-select-top.json"	"SELECT TOP"	"16"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"4"	"3"
"02-querying-data"	"04-where-clause.json"	"WHERE Clause"	"17"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"10"	"3"
"02-querying-data"	"05-and-operator.json"	"AND Operator"	"19"	"False"	"0"	"callout, example, heading, paragraph, summary-box, table"	"True"	"True"	"5"	"3"
"02-querying-data"	"06-or-operator.json"	"OR Operator"	"21"	"False"	"0"	"callout, example, heading, paragraph, summary-box, table"	"True"	"True"	"5"	"3"
"02-querying-data"	"07-between-operator.json"	"BETWEEN Operator"	"19"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"5"	"2"
"02-querying-data"	"08-in-operator.json"	"IN Operator"	"22"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"5"	"3"
"02-querying-data"	"09-like-operator.json"	"LIKE Operator"	"30"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"13"	"2"
"02-querying-data"	"10-null-three-valued-logic.json"	"NULL, Three-Valued Logic, and IS NULL Operator"	"17"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"3"	"2"
"02-querying-data"	"11-order-by-clause.json"	"ORDER BY Clause"	"26"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"7"	"2"
"02-querying-data"	"12-offset-and-fetch.json"	"OFFSET FETCH"	"16"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"6"	"3"
"03-joins"	"01-visualization-explanation-of-joins.json"	"A Visualization Explanation of Joins in SQL Server"	"26"	"False"	"0"	"example, heading, paragraph, summary-box"	"True"	"True"	"14"	"5"
"03-joins"	"02-inner-join.json"	"INNER JOIN"	"19"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"6"	"2"
"03-joins"	"03-left-join.json"	"LEFT JOIN"	"21"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"8"	"3"
"03-joins"	"04-right-join.json"	"RIGHT JOIN"	"14"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"5"	"1"
"03-joins"	"05-full-outer-join.json"	"FULL OUTER JOIN"	"18"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"5"	"1"
"03-joins"	"06-cross-join.json"	"CROSS JOIN"	"15"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"3"	"3"
"03-joins"	"07-self-join.json"	"SELF JOIN"	"19"	"False"	"0"	"callout, example, heading, paragraph, summary-box"	"True"	"True"	"10"	"1"
"03-joins"	"08-cross-apply.json"	"CROSS APPLY Clause"	"24"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"1"	"2"
"04-set-operations"	"01-union-ultimate-guide.json"	"UNION: The Ultimate Guide"	"22"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"6"	"2"
"04-set-operations"	"02-except.json"	"EXCEPT"	"15"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"False"	"False"	"0"	"0"
"04-set-operations"	"03-intersect.json"	"INTERSECT Explained"	"12"	"False"	"0"	"bullet-list, callout, example, heading, paragraph, summary-box"	"True"	"True"	"2"	"2"
"05-grouping-aggregation-subqueries"	"01-group-by.json"	"GROUP BY"	"31"	"True"	"5"	"bullet-list, example, heading, image, paragraph, summary-box"	"True"	"True"	"11"	"4"
"05-grouping-aggregation-subqueries"	"02-having-clause.json"	"HAVING Clause"	"26"	"True"	"4"	"example, heading, image, paragraph, summary-box"	"True"	"True"	"7"	"3"
