#,content_type,course_name,course_order,module_name,module_order,lesson_name,lesson_order,file_location
1,course,ASP.NET Core,1,Getting Started with ASP.NET Core,1,What is ASP.NET Core?,1,course/aspnet-core/01-getting-started/what-is-aspnet-core.json
2,course,C# Fundamentals,1,Getting Started with C#,1,What is C#,1,course/csharp-fundamentals/01-getting-started/what-is-csharp.json
3,course,ASP.NET Core,1,Getting Started with ASP.NET Core,1,Setting Up the Development Environment,2,course/aspnet-core/01-getting-started/setting-up-environment.json
4,course,C# Fundamentals,1,Getting Started with C#,1,Setting Up Your Environment,2,course/csharp-fundamentals/01-getting-started/setting-up.json
5,course,ASP.NET Core,1,Getting Started with ASP.NET Core,1,Creating Your First Project,3,course/aspnet-core/01-getting-started/creating-first-project.json
6,course,C# Fundamentals,1,Getting Started with C#,1,Your First C# Program,3,course/csharp-fundamentals/01-getting-started/first-program.json
7,course,ASP.NET Core,1,Getting Started with ASP.NET Core,1,Understanding the Project Structure,4,course/aspnet-core/01-getting-started/understanding-project-structure.json
8,course,C# Fundamentals,1,Getting Started with C#,1,Understanding Program Structure,4,course/csharp-fundamentals/01-getting-started/understanding-structure.json
9,course,ASP.NET Core,1,Getting Started with ASP.NET Core,1,Running and Debugging Applications,5,course/aspnet-core/01-getting-started/running-and-debugging.json
10,course,C# Fundamentals,1,Getting Started with C#,1,Methods,5,course/csharp-fundamentals/01-getting-started/methods.json
11,course,ASP.NET Core,1,MVC Fundamentals,2,Understanding MVC Architecture,1,course/aspnet-core/02-mvc-fundamentals/mvc-architecture.json
12,course,C# Fundamentals,1,Variables and Data Types,2,Variables,1,course/csharp-fundamentals/02-variables-types/variables.json
13,course,ASP.NET Core,1,MVC Fundamentals,2,Controllers and Actions,2,course/aspnet-core/02-mvc-fundamentals/controllers-and-actions.json
14,course,C# Fundamentals,1,Variables and Data Types,2,Value Types,2,course/csharp-fundamentals/02-variables-types/value-types.json
15,course,ASP.NET Core,1,MVC Fundamentals,2,Views and Templates,3,course/aspnet-core/02-mvc-fundamentals/views-and-templates.json
16,course,C# Fundamentals,1,Variables and Data Types,2,Reference Types,3,course/csharp-fundamentals/02-variables-types/reference-types.json
17,course,ASP.NET Core,1,MVC Fundamentals,2,"Models, ViewData, and ViewBag",4,course/aspnet-core/02-mvc-fundamentals/models-and-viewdata.json
18,course,C# Fundamentals,1,Variables and Data Types,2,Type Conversion,4,course/csharp-fundamentals/02-variables-types/type-conversion.json
19,course,ASP.NET Core,1,MVC Fundamentals,2,Handling User Input,5,course/aspnet-core/02-mvc-fundamentals/handling-user-input.json
20,course,ASP.NET Core,1,Routing and URLs,3,Routing Basics,1,course/aspnet-core/03-routing-urls/routing-basics.json
21,course,C# Fundamentals,1,Control Flow,3,Conditional Statements,1,course/csharp-fundamentals/03-control-flow/conditionals.json
22,course,ASP.NET Core,1,Routing and URLs,3,Attribute Routing,2,course/aspnet-core/03-routing-urls/attribute-routing.json
23,course,C# Fundamentals,1,Control Flow,3,Loops,2,course/csharp-fundamentals/03-control-flow/loops.json
24,course,ASP.NET Core,1,Routing and URLs,3,Route Constraints,3,course/aspnet-core/03-routing-urls/route-constraints.json
25,course,C# Fundamentals,1,Control Flow,3,Switch Statements,3,course/csharp-fundamentals/03-control-flow/switch-statements.json
26,course,ASP.NET Core,1,Routing and URLs,3,URL Generation,4,course/aspnet-core/03-routing-urls/url-generation.json
